# Supplemental public-domain glossary for the definitions asset.
#
# Format: one entry per line, "<word>\t<gloss>". Lines starting with # and blank
# lines are ignored. Consumed by tools/mergedefs via -glossary. Only a word that is
# itself missing from a word list is folded into the asset, and existing
# (Wiktionary / Webster / WordNet) definitions always win.
#
# These glosses were extracted from public-domain sources for words the primary
# layers do not define. Provenance per section below; details in
# defs/assets/definitions/SOURCES.md.
#
# --- jamieson-scots ---
# Jamieson, Etymological Dictionary of the Scottish Language (PD); Gutenberg #40521.
# --- webster-1922 ---
# Webster's New Modern English Dictionary, Consolidated Book Publishers, 1922 (PD; all
# copyright dates 1908-1922, so US public domain). OCR text from the Internet Archive item
# webstersnewmoder00web. Each gloss below was read back against the source page text, since
# OCR output cannot be trusted unchecked; bracketed language notes and cross-references
# ("[French.]", "Fem. siffleuse") are dropped.
befana	A fairy supposed to reward children with presents of sweetmeats on Epiphany Eve
eboulement	The crumbling of a wall or fortification; a landslip or avalanche
maximite	A powerful explosive invented by Sir Hiram Maxim
megafog	A fog-signalling device
mondaine	A woman of fashion
siffleur	A professional whistler
stegomyia	The genus of mosquitoes which transmit the germs of yellow fever
trevis	A beam or crossbar; a partition

# --- opted-wb1913 ---
# The Online Plain Text English Dictionary (OPTED) v0.03, Ralph S. Sutherland, derived from
# the Project Gutenberg etext of Webster's Unabridged Dictionary (1913) — public domain.
# https://www.mso.anu.edu.au/~ralph/OPTED/
#
# OPTED records these as irregular Latin plurals ('animi, of Animus'), which no de-inflection
# rule derives. Each gloss below names the singular and then gives that singular's OPTED
# definition, so the entry reads as a definition rather than as a bare cross-reference.
animi	Plural of animus: animating spirit; intention; temper
haggadoth	Plural of haggada: a story, anecdote, or legend in the Talmud explaining the text of the Old Testament
lapides	Plural of lapis: a stone
pignora	Plural of pignus: a pledge or pawn
semina	Plural of semen: the seed of plants
ulnaria	Plural of ulnare: a bone or cartilage of the carpus, which articulates with the ulna
vertigines	Plural of vertigo: dizziness or swimming of the head

# --- petree-owl21 ---
# Definitions by Joseph Petree, from his Extended Free Zyzzyva Dictionary (OWL 2.1, 2016),
# via the WOW24 Zyzzyva import compiled by Mitch Bayersdorfer and released under
# CC BY-SA 4.0. https://pdxscrabble.neocities.org/word-lists/WOW24-Dictionary-Import
#
# Joseph Petree's permission requires that his name appear in the definitions file and that
# the text not be severely altered, so the wording below is his verbatim. Only Zyzzyva's
# formatting notation is removed: the "< BASE," cross-reference prefix, the "[n. -S]"
# inflection table, the "~" non-tournament-word flag, the provenance markers, and trailing
# variant lists. Nested glosses in "« »" become parentheses.
#
# This is the only source found that defines this vocabulary, which comes from the Scrabble
# tournament lexicons and is absent from Wiktionary, Webster 1913, Webster 1922, WordNet,
# GCIDE and OPTED.
acta	recorded proceedings
adsuki	adzuki (the edible seed of an Asian plant)
adsukis	adzuki (the edible seed of an Asian plant)
aerosat	a satellite for use in air-traffic control
aerosats	a satellite for use in air-traffic control
aetatis	of the age of
agatoid	a variety of quartz
aggada	haggadah (a biblical narrative)
aggadas	haggadah (a biblical narrative)
agria	severe pustular eruption
agrias	severe pustular eruption
ailanthic	(botany) of or relating to the ailanthus tree
ainsell	own self
ainsells	own self
airshot	an aircheck
airshots	an aircheck
airvac	evacuation by air ambulance
airvacs	evacuation by air ambulance
aivers	a draft horse
alencon	a needlepoint lace
alencons	a needlepoint lace
alphyl	a univalent radical
alphyls	a univalent radical
alumins	alumina (an oxide of aluminum)
amarna	pertaining to a certain historical period of ancient Egypt
amie	a female friend
aminities	the state of being an amine
aminity	the state of being an amine
analcimic	(mineralogy) characterized by the presence of analcite
anga	any of the eight practices of yoga
animati	a musical passage played in a lively manner
animis	anime (a resin obtained from a tropical tree)
antherid	a male reproductive organ of certain plants
antherids	a male reproductive organ of certain plants
anthraces	an infectious disease
apatetic	having coloration serving as natural camouflage
apholate	a chemical used to control houseflies
apholates	a chemical used to control houseflies
argentum	silver (to cover with silver (a metallic element))
argentums	silver (to cover with silver (a metallic element))
argle	to argue (to present reasons for or against)
argled	to argue (to present reasons for or against)
argles	to argue (to present reasons for or against)
argling	to argue (to present reasons for or against)
arriba	used to express pleasure
arseno	containing a certain bivalent chemical radical
arsino	containing a certain univalent chemical radical
aspirata	a type of plosive
atalaya	a watchtower
atalayas	a watchtower
aures	the ear
auris	the ear
autecism	the development of the entire life cycle of a parasitic fungus on a single host
autecisms	the development of the entire life cycle of a parasitic fungus on a single host
aviatrice	a variant form of aviatrix
avion	an airplane
avions	an airplane
awee	awhile (for a short time)
awmous	alms (money or goods given to the poor)
backdropt	to provide with a scenic background
ballasters	someone who supplies ballast for a ship; someone who ballasts
ballonne	a ballet jump
ballonnes	a ballet jump
bankit	a raised sidewalk
bankits	a raised sidewalk
bannet	a bonnet
bannets	a bonnet
barbot	barbotte (a large catfish (a scaleless, large-headed fish))
barbots	barbotte (a large catfish (a scaleless, large-headed fish))
barca	a double-ended boat
barcas	a double-ended boat
barefit	barefoot (being without shoes)
barleduc	a fruit jam
barleducs	a fruit jam
barmie	barmy (full of barm; frothy)
batonnier	a Bar Association president
batonniers	a Bar Association president
baynoddies	a bayman (a person who fishes on a bay)
baynoddy	a bayman (a person who fishes on a bay)
bazz	to throw (as a stone)
bazzes	to throw (as a stone)
becoward	to accuse of cowardice
becowarded	to accuse of cowardice
becowarding	to accuse of cowardice
becowards	to accuse of cowardice
becrime	to make guilty of a crime
becrimed	to make guilty of a crime
becrimes	to make guilty of a crime
becriming	to make guilty of a crime
becrust	to cover with a crust
becrusting	to cover with a crust
becrusts	to cover with a crust
beglad	to gladden (to make glad)
begladded	to gladden (to make glad)
begladding	to gladden (to make glad)
beglads	to gladden (to make glad)
begrimmed	to begrime (to dirty)
begrimming	to begrime (to dirty)
begrims	to begrime (to dirty)
begulf	to engulf (to surround completely)
begulfed	to engulf (to surround completely)
begulfing	to engulf (to surround completely)
begulfs	to engulf (to surround completely)
beigne	beignet (a type of fritter or doughnut)
beignes	beignet (a type of fritter or doughnut)
beknot	to tie in knots
beknots	to tie in knots
beknotting	to tie in knots
belgas	a former Belgian monetary unit
beliquor	to soak with liquor
beliquoring	to soak with liquor
beliquors	to soak with liquor
belon	a flat oyster
belons	a flat oyster
bepimple	to cover with pimples
bepimples	to cover with pimples
bepimpling	to cover with pimples
berake	to rake all over
beraked	to rake all over
berakes	to rake all over
beraking	to rake all over
bergere	an upholstered armchair
bergeres	an upholstered armchair
bescour	to scour thoroughly
bescoured	to scour thoroughly
bescouring	to scour thoroughly
bescours	to scour thoroughly
betatter	to tatter (to become torn and worn)
betattering	to tatter (to become torn and worn)
betatters	to tatter (to become torn and worn)
bethorn	to fill with thorns
bethorning	to fill with thorns
bethorns	to fill with thorns
beuncled	having many uncles
bewearied	to make weary
bewearies	to make weary
beweary	to make weary
bewearying	to make weary
beworm	to infest with worms
beworming	to infest with worms
beworms	to infest with worms
biali	bialy (an onion roll)
bialis	bialy (an onion roll)
biflex	bent in two places
bigstick	threatening military force
bilboa	bilbo (a finely tempered sword)
bilboas	bilbo (a finely tempered sword)
birrotch	a monetary unit of Ethiopia
bizone	two combined zones
bizones	two combined zones
blawn	to blow (to damn)
blindgut	a cecum
blindguts	a cecum
blowinesses	(not standard) the quality or extent of being blowy
boatport	an enclosure for boats
boatports	an enclosure for boats
boite	a nightclub
boites	a nightclub
bonita	bonito (a marine food fish)
bonitas	bonito (a marine food fish)
borty	a low-quality diamond
boursin	a mild, smooth, creamy cheese without rind -- a trademark
boursins	a mild, smooth, creamy cheese without rind -- a trademark
bousoukia	bouzouki (a stringed musical instrument)
boyarism	the rule of boyars
boyarisms	the rule of boyars
brawlie	splendidly (in a splendid manner; magnificently)
brecham	a collar for a horse
brechams	a collar for a horse
brechan	brecham (a collar for a horse)
brechans	brecham (a collar for a horse)
bregmate	a junction point of the skull
bubalis	bubal (a large antelope)
bubalises	bubal (a large antelope)
bulley	a two-masted fishing boat
bulleys	a two-masted fishing boat
burdie	burd (a maiden)
burdies	burd (a maiden)
buzukia	bouzouki (a stringed musical instrument)
buzzwig	a large, thick wig
buzzwigs	a large, thick wig
cabresta	cabestro (a lasso)
cabrestas	cabestro (a lasso)
calabogus	a beverage made from spruce beer, rum and molasses
calaboguses	a beverage made from spruce beer, rum and molasses
calo	a Spanish argot used by Chicano youths
calos	a Spanish argot used by Chicano youths
calycate	calycine (pertaining to a calyx)
cambogia	a gum resin
cambogias	a gum resin
cammie	camouflage
campshirt	a loose, short-sleeved shirt or blouse with an open collar
campshirts	a loose, short-sleeved shirt or blouse with an open collar
caritas	love for all people
caritases	love for all people
cassene	cassina (an evergreen tree)
cassenes	cassina (an evergreen tree)
cassina	an evergreen tree
cassinas	an evergreen tree
cassine	cassina (an evergreen tree)
cassines	cassina (an evergreen tree)
catheptic	(biochemistry) of or relating to enzymes that catalyze autolysis in death or pathological conditions
catrigged	Derivative of cat rig (the rig of a catboat)
celibatic	of or relating to celibacy
centai	a monetary unit of Lithuania
centauric	(spiritualism) characterized by an integration of mind and body for consciousness above the ego-self
centu	a monetary unit of Lithuania
cerveza	beer (an alcoholic beverage)
cervezas	beer (an alcoholic beverage)
cestoi	cestus (a hand covering for ancient Roman boxers)
challie	challis (a light fabric)
challies	challis (a light fabric)
chao	a monetary unit of Vietnam
chaqueta	a jacket worn by cowboys
chaquetas	a jacket worn by cowboys
charquid	a type of meat
chaufers	chauffer (a small furnace)
cheshire	a hard English cheese
cheshires	a hard English cheese
chevret	chevre (a cheese made from goat's milk)
chevrets	chevre (a cheese made from goat's milk)
chiliadic	Derivative of chiliad (a group of one thousand)
chimar	chimere (a bishop's robe)
chimars	chimere (a bishop's robe)
cicoree	a perennial herb
cicorees	a perennial herb
cipaille	a pie with layers of meat and pastry
cipailles	a pie with layers of meat and pastry
clach	clachan (a hamlet)
clachs	clachan (a hamlet)
classico	made from grapes grown in a certain part of Italy
classon	a subatomic particle
classons	a subatomic particle
claught	to clutch (to grasp and hold tightly)
claughted	to clutch (to grasp and hold tightly)
claughting	to clutch (to grasp and hold tightly)
claughts	to clutch (to grasp and hold tightly)
coadmire	to admire together
coadmired	to admire together
coadmires	to admire together
coadmiring	to admire together
coderive	to derive jointly
coderived	to derive jointly
coderives	to derive jointly
coderiving	to derive jointly
coembodied	to embody jointly
coembodies	to embody jointly
coembody	to embody jointly
coembodying	to embody jointly
coemploy	to employ together
coemployed	to employ together
coemploying	to employ together
coemploys	to employ together
coempt	to buy up the entire supply of a product
coempted	to buy up the entire supply of a product
coempting	to buy up the entire supply of a product
coempts	to buy up the entire supply of a product
coenamor	to inflame with mutual love
coenamored	to inflame with mutual love
coenamoring	to inflame with mutual love
coenamors	to inflame with mutual love
coerect	to erect together
coerected	to erect together
coerecting	to erect together
coerects	to erect together
coinfer	to infer jointly
coinferred	to infer jointly
coinferring	to infer jointly
coinfers	to infer jointly
collembolous	of or relating to colembolans
collotypies	the process of collotype
collotypy	the process of collotype
comade	to serve as comaker for another's loan
comake	to serve as comaker for another's loan
comakes	to serve as comaker for another's loan
comaking	to serve as comaker for another's loan
conelrad	a system of defense in the event of air attack
conelrads	a system of defense in the event of air attack
conferval	Derivative of conferva (any of various threadlike green algae, esp any of the genus Tribonema, typically occurring in fresh water)
conins	coniine (a poisonous alkaloid)
connor	a saltwater fish
corelate	to place into mutual or reciprocal relation
corelated	to place into mutual or reciprocal relation
corelates	to place into mutual or reciprocal relation
corelating	to place into mutual or reciprocal relation
cornbraid	to braid (hair) in close parallel rows, creating a hairstyle known as a corn row
cornbraided	to braid (hair) in close parallel rows, creating a hairstyle known as a corn row
cornbraiding	to braid (hair) in close parallel rows, creating a hairstyle known as a corn row
cornbraids	to braid (hair) in close parallel rows, creating a hairstyle known as a corn row
cortication	formation of bark
cortications	formation of bark
counterstricken	a retaliatory strike
coyau	a steep roof design
coyaus	a steep roof design
cozzes	a cousin
creosotic	Derivative of creosote (a colourless or pale yellow liquid mixture with a burning taste and penetrating odour distilled from wood tar, esp from beechwood, contains creosol and other phenols, and is used as an antiseptic)
crimmers	krimmer (a kind of fur)
crostino	a small piece of toast topped with a spread
crozers	a croze (a tool used in barrel-making)
cuif	coof (a dolt)
cuifs	coof (a dolt)
cuisinart	® a brand of food processor
cuisinarts	® a brand of food processor
cuittle	to coax
cuittled	to coax
cuittles	to coax
cuittling	to coax
cullay	quillai (an evergreen tree)
cullays	quillai (an evergreen tree)
culti	a cult (a religious society)
cupelers	cupeller (one that cupels)
cursillo	a type of spiritual retreat (seclusion with a group)
cursillos	a type of spiritual retreat (seclusion with a group)
curtalax	a cutlass (a short sword)
curtalaxes	a cutlass (a short sword)
cymbalers	one that plays the cymbals
cysteinic	Derivative of cysteine (a sulphur-containing amino acid, present in proteins, that oxidizes on exposure to air to form cystine. Formula: HSCH2CH(NH2)COOH)
dackered	to waver (to move back and forth)
dackering	to waver (to move back and forth)
dackers	to waver (to move back and forth)
daturic	a flowering plant
daut	to fondle
dauted	to fondle
dautie	a small pet
dauties	a small pet
dauting	to fondle
dauts	to fondle
dawen	to dawn (to begin to grow light in the morning)
dawtie	dautie (a small pet)
dawties	dautie (a small pet)
deathcup	a poisonous mushroom
deathcups	a poisonous mushroom
deepfroze	a type of refrigerator in which food, etc, is stored for long periods at temperatures below freezing
deepfrozen	a type of refrigerator in which food, etc, is stored for long periods at temperatures below freezing
dementi	an official denial of a published statement
dementis	an official denial of a published statement
detentist	Derivative of détentist (a supporter of détente; someone who tries to ease political tensions)
detentists	Derivative of détentist (a supporter of détente; someone who tries to ease political tensions)
detickers	one that deticks (to remove ticks from)
dicoumarin	dicoumarol
dicoumarins	dicoumarol
dikey	resembling a lesbian in nature or appearance -- an offensive term
dilatably	(rare) in a dilatable manner
diploses	a method of chromosome formation
diplosis	a method of chromosome formation
dipsades	a fabled serpent
diptyca	diptych (an ancient writing tablet)
diptycas	diptych (an ancient writing tablet)
dixit	a statement
dixits	a statement
dizenments	Derivative of dizen (an archaic word for bedizen)
dolci	a soft-toned organ stop
donnerd	donnered (dazed)
donnert	donnered (dazed)
donsy	donsie (unlucky)
dopeynesses	another spelling of dopiness
dore	a large freshwater fish
dowsabel	a sweetheart
dowsabels	a sweetheart
dracena	dracaena (a tropical plant)
dracenas	dracaena (a tropical plant)
drinkably	from the point of view of how drinkable something is
duddie	ragged (tattered)
duecento	the thirteenth century
duecentos	the thirteenth century
dukka	an Egyptian spice blend
dukkas	an Egyptian spice blend
duro	a Spanish silver dollar
duros	a Spanish silver dollar
dynel	a synthetic fiber
dynels	a synthetic fiber
eaux	water (to sprinkle with water (a transparent, odorless, tasteless liquid))
echappe	moving from a closed to an open position of the feet in ballet
emeroid	emerod (a tumor)
endamebic	Derivative of endamoebic (relating to endamebae)
endorsive	pertaining to endorsement
epater	to shock complacent people
epatered	to shock complacent people
epatering	to shock complacent people
epaters	to shock complacent people
epicentra	the focus of an earthquake
epicentrum	the focus of an earthquake
epimerism	the state of being or having epimers
epimerisms	the state of being or having epimers
epirogenies	a variant spelling of epeirogeny
epirogeny	a variant spelling of epeirogeny
erugo	aerugo (a green film that forms on copper)
erugos	aerugo (a green film that forms on copper)
espanol	a native of Spain
espanoles	a native of Spain
espiegle	playful (frolicsome)
espoir	a category of wrestlers
espoirs	a category of wrestlers
euroland	the eurozone (the area formed by the countries using the euro)
eurolands	the eurozone (the area formed by the countries using the euro)
eurozone	the area formed by the countries using the euro
eurozones	the area formed by the countries using the euro
fabrique	a parish group that deals with church property
fabriques	a parish group that deals with church property
fadein	a gradual increase in the brightness of an image
fadeins	a gradual increase in the brightness of an image
falconoid	an antioxidant compound found in tea and thought to resist cancer
farcers	farceur (a joker)
farci	stuffed with finely chopped meat
farcie	farci (stuffed with finely chopped meat)
farfal	farfel (noodles in the form of small pellets or granules)
farfals	farfel (noodles in the form of small pellets or granules)
fashious	annoying (to be troublesome to)
fatbird	a wading bird
fatbirds	a wading bird
feminie	women collectively
feuillete	a type of pastry
feuilletes	a type of pastry
fezzy	a brimless cap worn by men in the Near East
fidelismo	Fidelism
fidelismos	Fidelism
fireflood	a method of extracting oil from a well by burning some of the oil to increase the rate of flow
firefloods	a method of extracting oil from a well by burning some of the oil to increase the rate of flow
firereel	a fire engine
firereels	a fire engine
fissate	deeply split
fixit	a person known for fixing things
fixits	a person known for fixing things
flatwash	flatwork (laundry that can be ironed mechanically)
flatwashes	flatwork (laundry that can be ironed mechanically)
fledgier	covered with feathers
fledgiest	covered with feathers
fledgy	covered with feathers
flextimers	a person who works flexitime
footstock	tailstock
footstocks	tailstock
forbidals	the act of forbidding (to command not to do something)
formably	to produce
fouette	a movement in ballet
fouettes	a movement in ballet
fracturers	a person who, or thing which, fractures (something)
frae	from (starting at)
francising	to francize (to force to adopt French customs and language)
franglais	informal French containing a high proportion of words of English origin
frankum	the hardened resin of a spruce tree
frankums	the hardened resin of a spruce tree
fucous	of or pertaining to fucoids
fullface	a heavy-faced type
fullfaces	a heavy-faced type
fullmouthed	Derivative of full-mouthed ((of livestock) having a full adult set of teeth)
futharc	futhark (an ancient alphabet)
futharcs	futhark (an ancient alphabet)
fyce	feist (a small dog of mixed breed)
fyces	feist (a small dog of mixed breed)
gach	to gatch (to behave boastfully)
gached	to gatch (to behave boastfully)
gacher	gatcher (one that gatches (to behave boastfully))
gachers	gatcher (one that gatches (to behave boastfully))
gaches	to gatch (to behave boastfully)
gaching	to gatch (to behave boastfully)
gaen	to go
gaposis	a gap in a row of buttons or snaps
gaposises	a gap in a row of buttons or snaps
garni	garnished (to decorate)
gasking	a gasket (packing for making something fluid-tight)
gaskings	a gasket (packing for making something fluid-tight)
gastritic	Derivative of gastritis (inflammation of the lining of the stomach)
gatchers	one that gatches (to behave boastfully)
gaun	to go
gawmoge	a clownish person
gawmoges	a clownish person
gewurztraminer	a variety of Traminer grape grown esp in the Rhine valley, Alsace, and Austria; the mildly spicy white wine made from this grape
gewurztraminers	a variety of Traminer grape grown esp in the Rhine valley, Alsace, and Austria; the mildly spicy white wine made from this grape
gien	to give (to transfer freely to another's possession)
giga	a gigue (a lively dance)
gigas	pertaining to variations in plant development
gighe	a gigue (a lively dance)
gingeley	gingelly (the sesame seed or its oil)
gingeleys	gingelly (the sesame seed or its oil)
gipon	jupon (a tunic)
gipons	jupon (a tunic)
glaiket	glaikit (foolish)
gonium	an immature reproductive cell
gor	used as a mild oath
graffiting	to draw graffiti on
gristers	one that grinds grain
guaiocum	guaiacum (a medicinal resin)
guaiocums	guaiacum (a medicinal resin)
